Map,Team,Player,Agent,ACS,Kills,Deaths,Assists,FirstKills,Winner,MapScore,Date,MatchID,MatchURL
Fracture,NOVA,o0o0o,breach,199,15,14,7,,True,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,EDG,Smoggy,brimstone,226,16,17,9,,False,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,EDG,S1Mon,breach,210,14,17,10,,False,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,EDG,nobody,tejo,200,16,18,2,,False,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,EDG,ZmjjKK,waylay,196,13,20,3,,False,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Fracture,EDG,CHICHOO,cypher,183,14,17,2,,False,13‑8,2025-03-20,7,https://www.vlr.gg/450053/nova-esports-vs-edward-gaming-champions-tour-2025-china-stage-1-w2
Pearl,TYL,slowly,tejo,202,15,13,5,,False,8‑13,2025-03-21,8,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
Pearl,TYL,waituu,astra,196,13,15,4,,False,8‑13,2025-03-21,8,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
Pearl,TYL,Ninebody,yoru,159,11,16,2,,False,8‑13,2025-03-21,8,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
Pearl,TYL,hfmi0dzjc9z7,fade,142,12,15,4,,False,8‑13,2025-03-21,8,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
Pearl,TYL,5CM,vyse,133,8,18,7,,False,8‑13,2025-03-21,8,https://www.vlr.gg/450054/tyloo-vs-funplus-phoenix-champions-tour-2025-china-stage-1-w2
